All event log messages.
Date:	2018-03-18 10:55:39
System Name:	C11_R11_R12_05-101065
Controller Name:	192.168.0.11
Controller Id	05-101065

RobotWare: 6.03.02.00
Key:	
Options:	
	RobotWare Base
	687-1 Advanced Robot Motion
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP and NFS client
	610-1 Independent Axis
	623-1 Multitasking
	604-1 MultiMove Coordinated
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	888-2 PROFINET Controller/Device
	688-1 RobotStudio App Connect
	885-1 SoftMove
	603-1 Absolute Accuracy
	English
	608-1 World Zones
	976-1 T10 Jogging Device
	812-1 Production Manager

Robot1
Key:	
Options:	
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3
	ADU-790A in position Y3
	ADU-790A in position Z3

Robot2
Key:	
Options:	
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position Z3
	ADU-790A in position X3
	ADU-790A in position Y3

SAC
	Key:	
Options:	
	Standalone Controller
		XYZ with no TCP
			Standalone Controller
				XYZ with no TCP

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
534193    	I   	User                	80003   	T_MASTER Speed Limit On, done           	2018-03-17 14:31:09 	rLogMsg	{args: "T_MASTER Speed Limit On, done", "rLogMsg"}
534194    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-17 14:31:09 	Task: T_MASTER.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_Ma/rInitSpeed/WaitSyncTask/148.	{args: "T_MASTER", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_Ma/rInitSpeed/WaitSyncTask/148"}
534195    	I   	User                	80003   	T_MASTER E001 Saw Saw Off, done         	2018-03-17 14:31:09 	rLogMsg	{args: "T_MASTER E001 Saw Saw Off, done", "rLogMsg"}
534196    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-17 14:31:10 	Task: T_MASTER.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_Ma/rInitTask/WaitSyncTask/77.	{args: "T_MASTER", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_Ma/rInitTask/WaitSyncTask/77"}
534197    	I   	User                	80003   	T_ROB11 TC11 Tool 2 Connect alias signals done	2018-03-17 14:31:10 	rLogMsg	{args: "T_ROB11 TC11 Tool 2 Connect alias signals done", "rLogMsg"}
534198    	I   	User                	80003   	T_ROB12 Tc12 Tool 3 Connect alias signals done	2018-03-17 14:31:10 	rLogMsg	{args: "T_ROB12 Tc12 Tool 3 Connect alias signals done", "rLogMsg"}
534199    	I   	User                	80003   	T_ROB11 TC11 Lock tool done             	2018-03-17 14:31:11 	rLogMsg	{args: "T_ROB11 TC11 Lock tool done", "rLogMsg"}
534200    	I   	User                	80003   	T_ROB12 Tc12 Lock tool done             	2018-03-17 14:31:11 	rLogMsg	{args: "T_ROB12 Tc12 Lock tool done", "rLogMsg"}
534201    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-17 14:31:11 	Task: T_ROB11.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_11/rInitTask/WaitSyncTask/79.	{args: "T_ROB11", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_11/rInitTask/WaitSyncTask/79"}
534202    	W   	Program             	41630   	Unsafe Synchronization                  	2018-03-17 14:31:11 	Task: T_ROB12.To reach safe synchronization functionality, variable idRFL_InitTaskEnd should be used only one time, not in several SyncMoveOn, SyncMoveOff or WaitSyncTask instructions. Program ref: /RFL_Control_12/rInitTask/WaitSyncTask/79.	{args: "T_ROB12", "idRFL_InitTaskEnd", "SyncMoveOn, SyncMoveOff", "WaitSyncTask", "/RFL_Control_12/rInitTask/WaitSyncTask/79"}
534203    	W   	Program             	40706   	Load Error                              	2018-03-17 14:31:20 	Task: T_ROB11.The program module is already loaded. Program ref: /A019_Motion_11/r_A019_InitCellPro/iGPSConnect/74.	{args: "T_ROB11", "/A019_Motion_11/r_A019_InitCellPro/iGPSConnect/74", "Home:/iGPS/iGPS_OfflineData_Robot11.sys", "ERR_LOADED"}
534204    	W   	Program             	40706   	Load Error                              	2018-03-17 14:31:20 	Task: T_ROB12.The program module is already loaded. Program ref: /A019_Motion_12/r_A019_InitCellPro/iGPSConnect/74.	{args: "T_ROB12", "/A019_Motion_12/r_A019_InitCellPro/iGPSConnect/74", "Home:/iGPS/iGPS_OfflineData_Robot12.sys", "ERR_LOADED"}
534205    	I   	User                	80003   	T_ROB11 A019 Station Park done          	2018-03-17 14:31:37 	rLogMsg	{args: "T_ROB11 A019 Station Park done", "rLogMsg"}
534206    	W   	Motion              	50024   	Corner path failure                     	2018-03-17 14:31:37 	Task: T_ROB11.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A019_Features_11/r_A019_MovToStaPosPark/MoveAbsJ/45.	{args: "T_ROB11", "/A019_Features_11/r_A019_MovToStaPosPark/MoveAbsJ/45"}
534207    	I   	User                	80003   	T_ROB11 R11_A000 Sync R11 and R12 done  	2018-03-17 14:31:38 	rLogMsg	{args: "T_ROB11 R11_A000 Sync R11 and R12 done", "rLogMsg"}
534208    	I   	User                	80003   	T_ROB12 R12_A000 Sync R11 and R12 done  	2018-03-17 14:31:38 	rLogMsg	{args: "T_ROB12 R12_A000 Sync R11 and R12 done", "rLogMsg"}
534209    	I   	User                	80003   	T_ROB12 A019 Station Pick done          	2018-03-17 14:31:39 	rLogMsg	{args: "T_ROB12 A019 Station Pick done", "rLogMsg"}
534210    	W   	Motion              	50024   	Corner path failure                     	2018-03-17 14:31:40 	Task: T_ROB12.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A019_Features_12/r_A019_MovToStaPosPick/MoveAbsJ/81.	{args: "T_ROB12", "/A019_Features_12/r_A019_MovToStaPosPick/MoveAbsJ/81"}
534211    	I   	User                	80003   	T_ROB12 RFL Check Y-Axis collision done 	2018-03-17 14:31:41 	rLogMsg	{args: "T_ROB12 RFL Check Y-Axis collision done", "rLogMsg"}
534212    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:31:45 	The task T_ROB12 has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB12"}
534213    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:31:50 	The task T_MASTER has stopped. The reason is that an external or internal stop has occurred. 	{args: "3", "T_MASTER"}
534214    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:31:50 	The task SENDER has stopped. The reason is that an external or internal stop has occurred. 	{args: "4", "SENDER"}
534215    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:31:50 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred. 	{args: "5", "RECEIVER"}
534216    	I   	Operational         	10125   	Program stopped                         	2018-03-17 14:31:50 	The task T_ROB11 has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB11"}
534217    	I   	Operational         	10012   	Safety guard stop state                 	2018-03-17 14:32:07 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
534218    	E   	System              	20205   	Auto Stop open                          	2018-03-17 14:32:07 	The Automatic Mode Safeguarded Stop circuit has been broken.	{args: }
534219    	I   	Operational         	10010   	Motors OFF state                        	2018-03-17 14:32:31 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
534220    	E   	System              	20072   	Not allowed command                     	2018-03-17 14:32:37 	The command is not allowed in Motors OFF state.	{args: "66"}
534221    	I   	Operational         	10011   	Motors ON state                         	2018-03-17 14:32:42 	The system is in the Motors ON state.	{args: }
534222    	W   	Operational         	10095   	At least one task is unchecked in the task selection panel	2018-03-17 14:32:43 	One or more of the NORMAL tasks are unchecked in the task selection panel when performing a (re)start.	{args: }
534223    	I   	Operational         	10052   	Regain start                            	2018-03-17 14:32:43 	A regain movement has started.	{args: "0"}
534224    	I   	Operational         	10053   	Regain ready                            	2018-03-17 14:32:43 	The regain movement is ready.	{args: "0"}
534225    	I   	Operational         	10156   	Program restarted                       	2018-03-17 14:32:43 	Execution of task T_ROB11 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB11"}
534226    	I   	Operational         	10156   	Program restarted                       	2018-03-17 14:32:43 	Execution of task T_ROB12 has been restarted from where it was previously stopped. The originator is an external client.	{args: "2", "T_ROB12"}
534227    	I   	Operational         	10156   	Program restarted                       	2018-03-17 14:32:43 	Execution of task T_MASTER has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "T_MASTER"}
534228    	I   	Operational         	10156   	Program restarted                       	2018-03-17 14:32:43 	Execution of task SENDER has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "SENDER"}
534229    	I   	Operational         	10156   	Program restarted                       	2018-03-17 14:32:43 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator is an external client.	{args: "5", "RECEIVER"}
534230    	I   	User                	80003   	T_ROB12 Tc12 Tool 3 Gripper off done    	2018-03-17 14:33:02 	rLogMsg	{args: "T_ROB12 Tc12 Tool 3 Gripper off done", "rLogMsg"}
534231    	I   	User                	80003   	T_ROB12 Tc12 Tool 3 Reset tool done     	2018-03-17 14:33:02 	rLogMsg	{args: "T_ROB12 Tc12 Tool 3 Reset tool done", "rLogMsg"}
534232    	W   	Motion              	50024   	Corner path failure                     	2018-03-17 14:33:04 	Task: T_ROB12.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A019_Features_12/r_A019_Pick/iGPSMoveJ/132.	{args: "T_ROB12", "/A019_Features_12/r_A019_Pick/iGPSMoveJ/132"}
534233    	I   	User                	80003   	T_ROB12 Tc12 Tool 3 Gripper on done     	2018-03-17 14:33:21 	rLogMsg	{args: "T_ROB12 Tc12 Tool 3 Gripper on done", "rLogMsg"}
534234    	I   	User                	80003   	T_ROB12 A019 Pick Beam done             	2018-03-17 14:33:24 	rLogMsg	{args: "T_ROB12 A019 Pick Beam done", "rLogMsg"}
534235    	I   	User                	80003   	T_ROB12 E001 Read saw data from extern, done	2018-03-17 14:33:26 	rLogMsg	{args: "T_ROB12 E001 Read saw data from extern, done", "rLogMsg"}
534236    	I   	User                	80003   	T_ROB12 RFL Check Y-Axis collision done 	2018-03-17 14:33:27 	rLogMsg	{args: "T_ROB12 RFL Check Y-Axis collision done", "rLogMsg"}
534237    	I   	User                	80003   	T_MASTER E001 Saw Saw On, done          	2018-03-17 14:33:37 	rLogMsg	{args: "T_MASTER E001 Saw Saw On, done", "rLogMsg"}
534238    	I   	User                	80003   	T_MASTER E001 Saw Send data ok : SOL A1 35980 0 A2 9000 0 A3 -1000 10 	2018-03-17 14:33:38 	rLogMsg	{args: "T_MASTER E001 Saw Send data ok : SOL A1 35980 0 A2 9000 0 A3 -1000 10 ", "rLogMsg"}
534239    	W   	Program             	40502   	Digital Input Break                     	2018-03-17 14:33:38 	Task: T_MASTER.A digital input interrupted the execution. Program ref: /SLIB_Beckhoff_EL6001_Com1/rEL6001_WaitForDat_Com1/UIMsgBox/1095.	{args: "T_MASTER", "/SLIB_Beckhoff_EL6001_Com1/rEL6001_WaitForDat_Com1/UIMsgBox/1095", "ERR_TP_DIBREAK"}
534240    	I   	User                	80003   	T_MASTER E001 Saw Read data : SOL A1 35980 0 A2 9000 0 A3 -1000 10 	2018-03-17 14:33:38 	rLogMsg	{args: "T_MASTER E001 Saw Read data : SOL A1 35980 0 A2 9000 0 A3 -1000 10 ", "rLogMsg"}
534241    	I   	User                	80003   	T_MASTER E001 Saw Saw Cycle executed    	2018-03-17 14:33:40 	rLogMsg	{args: "T_MASTER E001 Saw Saw Cycle executed", "rLogMsg"}
534242    	I   	User                	80003   	T_MASTER E001 Saw Saw Off, done         	2018-03-17 14:33:40 	rLogMsg	{args: "T_MASTER E001 Saw Saw Off, done", "rLogMsg"}
534243    	I   	User                	80003   	T_MASTER E001 Saw Saw Rotation and Inclination, done	2018-03-17 14:33:40 	rLogMsg	{args: "T_MASTER E001 Saw Saw Rotation and Inclination, done", "rLogMsg"}
534244    	I   	User                	80003   	T_MASTER A019 Saw Job Move, done        	2018-03-17 14:33:40 	rLogMsg	{args: "T_MASTER A019 Saw Job Move, done", "rLogMsg"}
534245    	I   	User                	80003   	T_MASTER E001 Saw Saw On, done          	2018-03-17 14:34:16 	rLogMsg	{args: "T_MASTER E001 Saw Saw On, done", "rLogMsg"}
534246    	I   	User                	80003   	T_MASTER E001 Saw Send data ok : SOL A3 22900 20 	2018-03-17 14:34:16 	rLogMsg	{args: "T_MASTER E001 Saw Send data ok : SOL A3 22900 20 ", "rLogMsg"}
534247    	W   	Program             	40502   	Digital Input Break                     	2018-03-17 14:34:16 	Task: T_MASTER.A digital input interrupted the execution. Program ref: /SLIB_Beckhoff_EL6001_Com1/rEL6001_WaitForDat_Com1/UIMsgBox/1095.	{args: "T_MASTER", "/SLIB_Beckhoff_EL6001_Com1/rEL6001_WaitForDat_Com1/UIMsgBox/1095", "ERR_TP_DIBREAK"}
534248    	I   	User                	80003   	T_MASTER E001 Saw Read data : SOL A3 22900 20 	2018-03-17 14:34:17 	rLogMsg	{args: "T_MASTER E001 Saw Read data : SOL A3 22900 20 ", "rLogMsg"}
534249    	I   	User                	80003   	T_MASTER E001 Saw Saw Cycle executed    	2018-03-17 14:34:23 	rLogMsg	{args: "T_MASTER E001 Saw Saw Cycle executed", "rLogMsg"}
534250    	I   	User                	80003   	T_MASTER E001 Saw Saw Off, done         	2018-03-17 14:34:23 	rLogMsg	{args: "T_MASTER E001 Saw Saw Off, done", "rLogMsg"}
534251    	I   	User                	80003   	T_MASTER E001 Saw Saw cut, done         	2018-03-17 14:34:23 	rLogMsg	{args: "T_MASTER E001 Saw Saw cut, done", "rLogMsg"}
534252    	I   	User                	80003   	T_MASTER A019 Saw Job Cut, done         	2018-03-17 14:34:23 	rLogMsg	{args: "T_MASTER A019 Saw Job Cut, done", "rLogMsg"}
534253    	I   	User                	80003   	T_ROB12 A019 Cut done                   	2018-03-17 14:34:26 	rLogMsg	{args: "T_ROB12 A019 Cut done", "rLogMsg"}
534254    	W   	Motion              	50024   	Corner path failure                     	2018-03-17 14:34:31 	Task: T_ROB12.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A019_Features_12/r_A019_Cut/iGPSMoveL/327.	{args: "T_ROB12", "/A019_Features_12/r_A019_Cut/iGPSMoveL/327"}
534255    	I   	User                	80003   	T_ROB12 A019 Cut transition done        	2018-03-17 14:34:42 	rLogMsg	{args: "T_ROB12 A019 Cut transition done", "rLogMsg"}
534256    	I   	User                	80003   	T_ROB12 E001 Read saw data from extern, done	2018-03-17 14:34:43 	rLogMsg	{args: "T_ROB12 E001 Read saw data from extern, done", "rLogMsg"}
534257    	W   	Motion              	50024   	Corner path failure                     	2018-03-17 14:34:45 	Task: T_ROB12.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A019_Features_12/r_A019_CutTransition/MoveL/229.	{args: "T_ROB12", "/A019_Features_12/r_A019_CutTransition/MoveL/229"}
534258    	I   	User                	80003   	T_ROB12 RFL Check Y-Axis collision done 	2018-03-17 14:34:45 	rLogMsg	{args: "T_ROB12 RFL Check Y-Axis collision done", "rLogMsg"}
534259    	I   	User                	80003   	T_MASTER E001 Saw Saw On, done          	2018-03-17 14:34:55 	rLogMsg	{args: "T_MASTER E001 Saw Saw On, done", "rLogMsg"}
534260    	I   	User                	80003   	T_MASTER E001 Saw Send data ok : SOL A1 35980 0 A2 9000 0 A3 -1000 10 	2018-03-17 14:34:55 	rLogMsg	{args: "T_MASTER E001 Saw Send data ok : SOL A1 35980 0 A2 9000 0 A3 -1000 10 ", "rLogMsg"}
534261    	W   	Program             	40502   	Digital Input Break                     	2018-03-17 14:34:55 	Task: T_MASTER.A digital input interrupted the execution. Program ref: /SLIB_Beckhoff_EL6001_Com1/rEL6001_WaitForDat_Com1/UIMsgBox/1080.	{args: "T_MASTER", "/SLIB_Beckhoff_EL6001_Com1/rEL6001_WaitForDat_Com1/UIMsgBox/1080", "ERR_TP_DIBREAK"}
534262    	I   	User                	80003   	T_MASTER E001 Saw Read data : SOL A1 35980 0 A2 9000 0 A3 -1000 10 	2018-03-17 14:34:56 	rLogMsg	{args: "T_MASTER E001 Saw Read data : SOL A1 35980 0 A2 9000 0 A3 -1000 10 ", "rLogMsg"}
534263    	I   	User                	80003   	T_MASTER E001 Saw Saw Cycle executed    	2018-03-17 14:34:56 	rLogMsg	{args: "T_MASTER E001 Saw Saw Cycle executed", "rLogMsg"}
534264    	I   	User                	80003   	T_MASTER E001 Saw Saw Off, done         	2018-03-17 14:34:56 	rLogMsg	{args: "T_MASTER E001 Saw Saw Off, done", "rLogMsg"}
534265    	I   	User                	80003   	T_MASTER E001 Saw Saw Rotation and Inclination, done	2018-03-17 14:34:56 	rLogMsg	{args: "T_MASTER E001 Saw Saw Rotation and Inclination, done", "rLogMsg"}
534266    	I   	User                	80003   	T_MASTER A019 Saw Job Move, done        	2018-03-17 14:34:56 	rLogMsg	{args: "T_MASTER A019 Saw Job Move, done", "rLogMsg"}
534267    	I   	User                	80003   	T_MASTER E001 Saw Saw On, done          	2018-03-17 14:36:06 	rLogMsg	{args: "T_MASTER E001 Saw Saw On, done", "rLogMsg"}
